"Subj","ItemNo","Scenario","Answer","AnswerTimes"
"subj01",59,"first-item14-nd-svo","levý","30733"
"subj01",64,"first-item15-d-move-a","levý","52891"
"subj01",16,"first-item3-nd-move-a","levý","32610"
"subj01",37,"first-item8-d-move-abar","ani jeden","28077"
"subj01",38,"first-item9-d-ref","levý","12759"
"subj01",43,"first-item10-nd-svo","levý","17529"
"subj01",54,"first-item13-d-ref","ani jeden","15551"
"subj01",27,"first-item6-d-svo","ani jeden","10333"
"subj01",6,"first-item1-d-ref","levý","9475"
"subj01",53,"first-item12-d-move-abar","levý","14961"
"subj01",21,"first-item4-d-move-abar","ani jeden","14580"
"subj01",32,"first-item7-nd-move-a","levý","11282"
"subj01",48,"first-item11-nd-move-a","levý","7797"
"subj01",11,"first-item2-nd-svo","ani jeden","9178"
"subj01",69,"first-item16-nd-move-abar","levý","12462"
"subj01",22,"first-item5-nd-ref","levý","12503"
"subj02",38,"first-item9-d-ref","levý","25467"
"subj02",32,"first-item7-nd-move-a","levý","17844"
"subj02",27,"first-item6-d-svo","levý","24381"
"subj02",53,"first-item12-d-move-abar","levý","18740"
"subj02",48,"first-item11-nd-move-a","levý","16237"
"subj02",16,"first-item3-nd-move-a","levý","40399"
"subj02",43,"first-item10-nd-svo","levý","6382"
"subj02",11,"first-item2-nd-svo","levý","16932"
"subj02",69,"first-item16-nd-move-abar","levý","7900"
"subj02",22,"first-item5-nd-ref","ani jeden","6595"
"subj02",59,"first-item14-nd-svo","levý","6687"
"subj02",64,"first-item15-d-move-a","pravý","17620"
"subj02",21,"first-item4-d-move-abar","levý","3864"
"subj02",37,"first-item8-d-move-abar","ani jeden","6701"
"subj02",6,"first-item1-d-ref","levý","6541"
"subj02",54,"first-item13-d-ref","levý","3628"
"subj03",45,"first-item10-nd-move-abar","levý","19712"
"subj03",51,"first-item12-d-svo","levý","28525"
"subj03",40,"first-item9-d-move-a","ani jeden","25861"
"subj03",14,"first-item3-nd-ref","levý","27904"
"subj03",8,"first-item1-d-move-a","ani jeden","29043"
"subj03",30,"first-item7-nd-ref","levý","30997"
"subj03",46,"first-item11-nd-ref","levý","25583"
"subj03",29,"first-item6-d-move-abar","ani jeden","25673"
"subj03",13,"first-item2-nd-move-abar","levý","14191"
"subj03",67,"first-item16-nd-svo","levý","6764"
"subj03",62,"first-item15-d-ref","ani jeden","16383"
"subj03",56,"first-item13-d-move-a","ani jeden","16467"
"subj03",61,"first-item14-nd-move-abar","levý","10586"
"subj03",19,"first-item4-d-svo","levý","11924"
"subj03",24,"first-item5-nd-move-a","levý","16008"
"subj03",35,"first-item8-d-svo","ani jeden","13104"
"subj04",40,"first-item9-d-move-a","ani jeden","42703"
"subj04",67,"first-item16-nd-svo","levý","22838"
"subj04",8,"first-item1-d-move-a","levý","33446"
"subj04",62,"first-item15-d-ref","levý","24821"
"subj04",19,"first-item4-d-svo","ani jeden","34278"
"subj04",29,"first-item6-d-move-abar","ani jeden","30571"
"subj04",46,"first-item11-nd-ref","ani jeden","27120"
"subj04",51,"first-item12-d-svo","levý","68423"
"subj04",35,"first-item8-d-svo","ani jeden","29244"
"subj04",14,"first-item3-nd-ref","levý","25148"
"subj04",13,"first-item2-nd-move-abar","ani jeden","21887"
"subj04",30,"first-item7-nd-ref","ani jeden","19473"
"subj04",45,"first-item10-nd-move-abar","levý","30938"
"subj04",61,"first-item14-nd-move-abar","levý","20458"
"subj04",24,"first-item5-nd-move-a","ani jeden","21548"
"subj04",56,"first-item13-d-move-a","ani jeden","26988"
"subj05",58,"first-item14-nd-ref","ani jeden","36423"
"subj05",25,"first-item5-nd-move-abar","levý","45766"
"subj05",52,"first-item12-d-move-a","ani jeden","31772"
"subj05",42,"first-item10-nd-ref","levý","28475"
"subj05",57,"first-item13-d-move-abar","ani jeden","25717"
"subj05",36,"first-item8-d-move-a","ani jeden","35100"
"subj05",47,"first-item11-nd-svo","levý","21258"
"subj05",41,"first-item9-d-move-abar","levý","26205"
"subj05",10,"first-item2-nd-ref","levý","12954"
"subj05",63,"first-item15-d-svo","pravý","24817"
"subj05",15,"first-item3-nd-svo","levý","26967"
"subj05",9,"first-item1-d-move-abar","levý","40771"
"subj05",20,"first-item4-d-move-a","ani jeden","24010"
"subj05",26,"first-item6-d-ref","ani jeden","18649"
"subj05",31,"first-item7-nd-svo","levý","16403"
"subj05",68,"first-item16-nd-move-a","levý","9277"
"subj06",27,"first-item6-d-svo","ani jeden","52277"
"subj06",69,"first-item16-nd-move-abar","levý","54765"
"subj06",54,"first-item13-d-ref","ani jeden","61654"
"subj06",6,"first-item1-d-ref","ani jeden","76500"
"subj06",22,"first-item5-nd-ref","ani jeden","75836"
"subj06",53,"first-item12-d-move-abar","ani jeden","35560"
"subj06",38,"first-item9-d-ref","ani jeden","17822"
"subj06",37,"first-item8-d-move-abar","ani jeden","93687"
"subj06",48,"first-item11-nd-move-a","ani jeden","53216"
"subj06",59,"first-item14-nd-svo","ani jeden","29118"
"subj06",43,"first-item10-nd-svo","ani jeden","53008"
"subj06",32,"first-item7-nd-move-a","levý","71591"
"subj06",11,"first-item2-nd-svo","ani jeden","34163"
"subj06",64,"first-item15-d-move-a","ani jeden","104883"
"subj06",21,"first-item4-d-move-abar","ani jeden","18156"
"subj06",16,"first-item3-nd-move-a","levý","83828"
"subj07",24,"first-item5-nd-move-a","ani jeden","92280"
"subj07",29,"first-item6-d-move-abar","levý","58278"
"subj07",19,"first-item4-d-svo","levý","34259"
"subj07",51,"first-item12-d-svo","levý","36653"
"subj07",46,"first-item11-nd-ref","levý","32853"
"subj07",62,"first-item15-d-ref","levý","30906"
"subj07",40,"first-item9-d-move-a","ani jeden","52934"
"subj07",61,"first-item14-nd-move-abar","levý","34991"
"subj07",67,"first-item16-nd-svo","pravý","14222"
"subj07",35,"first-item8-d-svo","levý","39985"
"subj07",30,"first-item7-nd-ref","ani jeden","32672"
"subj07",8,"first-item1-d-move-a","levý","55014"
"subj07",13,"first-item2-nd-move-abar","ani jeden","62216"
"subj07",14,"first-item3-nd-ref","ani jeden","59785"
"subj07",45,"first-item10-nd-move-abar","levý","47973"
"subj07",56,"first-item13-d-move-a","levý","34912"
"subj08",57,"first-item13-d-move-abar","levý","22284"
"subj08",52,"first-item12-d-move-a","levý","26398"
"subj08",20,"first-item4-d-move-a","ani jeden","18774"
"subj08",47,"first-item11-nd-svo","ani jeden","17174"
"subj08",63,"first-item15-d-svo","levý","25986"
"subj08",10,"first-item2-nd-ref","ani jeden","19683"
"subj08",15,"first-item3-nd-svo","levý","20546"
"subj08",58,"first-item14-nd-ref","levý","24170"
"subj08",26,"first-item6-d-ref","levý","22364"
"subj08",9,"first-item1-d-move-abar","ani jeden","26923"
"subj08",68,"first-item16-nd-move-a","levý","10986"
"subj08",36,"first-item8-d-move-a","ani jeden","19912"
"subj08",31,"first-item7-nd-svo","levý","19903"
"subj08",42,"first-item10-nd-ref","levý","28829"
"subj08",41,"first-item9-d-move-abar","ani jeden","19443"
"subj08",25,"first-item5-nd-move-abar","levý","19364"
"subj09",25,"first-item5-nd-move-abar","levý","35507"
"subj09",41,"first-item9-d-move-abar","ani jeden","40790"
"subj09",68,"first-item16-nd-move-a","levý","28742"
"subj09",9,"first-item1-d-move-abar","levý","47839"
"subj09",58,"first-item14-nd-ref","levý","23381"
"subj09",26,"first-item6-d-ref","levý","16290"
"subj09",15,"first-item3-nd-svo","levý","37135"
"subj09",63,"first-item15-d-svo","ani jeden","374730"
"subj09",31,"first-item7-nd-svo","levý","20148"
"subj09",52,"first-item12-d-move-a","levý","135073"
"subj09",42,"first-item10-nd-ref","levý","22601"
"subj09",20,"first-item4-d-move-a","ani jeden","54004"
"subj09",36,"first-item8-d-move-a","ani jeden","31656"
"subj09",10,"first-item2-nd-ref","levý","109231"
"subj09",57,"first-item13-d-move-abar","levý","29761"
